Site ID;Core ID;Ecosystem;Genus;Min.D;Max.D;DBD;OM;OC;Age
AG.S;AG.S-A;Seagrass;Posidonia oceanica;0;1;0.735291157;6.554328546;;8
AG.S;AG.S-A;Seagrass;Posidonia oceanica;1;2;0.975433602;;;13
AG.S;AG.S-A;Seagrass;Posidonia oceanica;2;3;0.8698411;7.382634131;;15
AG.S;AG.S-A;Seagrass;Posidonia oceanica;3;4;1.027256404;;;22
AG.S;AG.S-A;Seagrass;Posidonia oceanica;4;5;0.930788652;8.026646466;;29
AG.S;AG.S-A;Seagrass;Posidonia oceanica;5;6;1.469619562;;;35
AG.S;AG.S-A;Seagrass;Posidonia oceanica;6;7;1.050020141;7.349943645;;38
AG.S;AG.S-A;Seagrass;Posidonia oceanica;7;8;0.739655633;;;44
AG.S;AG.S-A;Seagrass;Posidonia oceanica;8;9;0.738056395;9.431278744;;46
AG.S;AG.S-A;Seagrass;Posidonia oceanica;9;10;0.677798816;;;51
AG.S;AG.S-A;Seagrass;Posidonia oceanica;10;11;0.811744365;9.262297441;;55
AG.S;AG.S-A;Seagrass;Posidonia oceanica;11;12;0.806887815;;;57
AG.S;AG.S-A;Seagrass;Posidonia oceanica;12;13;0.828560433;11.17908321;;66
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13;14;1.297222767;;;70
AG.S;AG.S-A;Seagrass;Posidonia oceanica;14;15;1.654473298;2.630064378;;80
AG.S;AG.S-A;Seagrass;Posidonia oceanica;15;16;1.542890339;;;85
AG.S;AG.S-A;Seagrass;Posidonia oceanica;16;17;1.37349947;2.711293266;;95
AG.S;AG.S-A;Seagrass;Posidonia oceanica;17;18;1.213308232;;;100
AG.S;AG.S-A;Seagrass;Posidonia oceanica;18;19;0.9340941;4.674905965;;106
AG.S;AG.S-A;Seagrass;Posidonia oceanica;19;20;1.454055071;;;113
AG.S;AG.S-A;Seagrass;Posidonia oceanica;20;21;1.544532366;4.659277396;;117
AG.S;AG.S-A;Seagrass;Posidonia oceanica;21;22;1.533573039;;;124
AG.S;AG.S-A;Seagrass;Posidonia oceanica;22;23;1.271383573;3.264754888;;129
AG.S;AG.S-A;Seagrass;Posidonia oceanica;23;24;1.189694064;;;133
AG.S;AG.S-A;Seagrass;Posidonia oceanica;24;25;1.203974886;4.614595129;;143
AG.S;AG.S-A;Seagrass;Posidonia oceanica;25;26;1.549388915;;;148
AG.S;AG.S-A;Seagrass;Posidonia oceanica;26;27;1.662456117;1.24594054;;152
AG.S;AG.S-A;Seagrass;Posidonia oceanica;27;28;1.775523319;;;162
AG.S;AG.S-A;Seagrass;Posidonia oceanica;28;29;1.322527099;1.257167219;;167
AG.S;AG.S-A;Seagrass;Posidonia oceanica;29;30;1.819264352;;;171
AG.S;AG.S-A;Seagrass;Posidonia oceanica;30;31;1.450423357;;;181
AG.S;AG.S-A;Seagrass;Posidonia oceanica;31;32;2.088471211;2.443108578;;185
AG.S;AG.S-A;Seagrass;Posidonia oceanica;32;33;1.719796023;;;190
AG.S;AG.S-A;Seagrass;Posidonia oceanica;33;34;1.155532413;3.524412524;;195
AG.S;AG.S-A;Seagrass;Posidonia oceanica;34;35;1.378195561;;;204
AG.S;AG.S-A;Seagrass;Posidonia oceanica;35;36;1.22290366;8.428587292;;209
AG.S;AG.S-A;Seagrass;Posidonia oceanica;36;37;0.915603913;;;213
AG.S;AG.S-A;Seagrass;Posidonia oceanica;37;38;1.145942333;5.845554302;;218
AG.S;AG.S-A;Seagrass;Posidonia oceanica;38;39;1.179440755;;;222
AG.S;AG.S-A;Seagrass;Posidonia oceanica;39;40;1.327303419;4.623685198;;232
AG.S;AG.S-A;Seagrass;Posidonia oceanica;40;41;1.161533567;;;237
AG.S;AG.S-A;Seagrass;Posidonia oceanica;41;42;1.003936411;6.189435932;;241
AG.S;AG.S-A;Seagrass;Posidonia oceanica;42;43;1.337460453;;;246
AG.S;AG.S-A;Seagrass;Posidonia oceanica;43;44;1.055561313;7.702115132;;251
AG.S;AG.S-A;Seagrass;Posidonia oceanica;44;45;1.630982149;;;255
AG.S;AG.S-A;Seagrass;Posidonia oceanica;45;46;0.820853068;9.505632765;;265
AG.S;AG.S-A;Seagrass;Posidonia oceanica;46;47;0.876612456;;;270
AG.S;AG.S-A;Seagrass;Posidonia oceanica;47;48;0.979070665;8.156989734;;274
AG.S;AG.S-A;Seagrass;Posidonia oceanica;48;49;0.984868572;;;279
AG.S;AG.S-A;Seagrass;Posidonia oceanica;49;50;1.137309657;5.93704863;;284
AG.S;AG.S-A;Seagrass;Posidonia oceanica;50;51;1.24437303;;;289
AG.S;AG.S-A;Seagrass;Posidonia oceanica;51;52;1.453921356;3.682888112;;294
AG.S;AG.S-A;Seagrass;Posidonia oceanica;52;53;1.281230386;;;304
AG.S;AG.S-A;Seagrass;Posidonia oceanica;53;54;1.391914777;3.827932716;;309
AG.S;AG.S-A;Seagrass;Posidonia oceanica;54;55;1.39333751;;;314
AG.S;AG.S-A;Seagrass;Posidonia oceanica;55;56;1.352982155;;;322
AG.S;AG.S-A;Seagrass;Posidonia oceanica;56;57;1.216415781;;;330
AG.S;AG.S-A;Seagrass;Posidonia oceanica;57;58;1.026256212;7.738800209;;338
AG.S;AG.S-A;Seagrass;Posidonia oceanica;58;59;0.861647011;;;345
AG.S;AG.S-A;Seagrass;Posidonia oceanica;59;60;1.029813045;5.90313163;;353
AG.S;AG.S-A;Seagrass;Posidonia oceanica;60;61;1.096055733;;;361
AG.S;AG.S-A;Seagrass;Posidonia oceanica;61;62;1.182227387;;;377
AG.S;AG.S-A;Seagrass;Posidonia oceanica;62;63;1.040371226;;;385
AG.S;AG.S-A;Seagrass;Posidonia oceanica;63;64;0.978337904;6.328199593;;393
AG.S;AG.S-A;Seagrass;Posidonia oceanica;64;65;1.337519288;;;400
AG.S;AG.S-A;Seagrass;Posidonia oceanica;65;66;1.067472695;4.240459848;;408
AG.S;AG.S-A;Seagrass;Posidonia oceanica;66;67;1.572018936;;;416
AG.S;AG.S-A;Seagrass;Posidonia oceanica;67;68;1.53353025;2.779136024;;424
AG.S;AG.S-A;Seagrass;Posidonia oceanica;68;69;1.408313653;;;432
AG.S;AG.S-A;Seagrass;Posidonia oceanica;69;70;1.38821353;5.150378371;;440
AG.S;AG.S-A;Seagrass;Posidonia oceanica;70;71;1.171096904;;;448
AG.S;AG.S-A;Seagrass;Posidonia oceanica;71;72;1.303715995;2.082408819;;456
AG.S;AG.S-A;Seagrass;Posidonia oceanica;72;73;1.367097169;;;464
