Site.ID;Core.ID;Ecosystem;Genus;Compresion;Min.D;Max.D;DBD;OM;OC;Age;Raw.Age;POC;Center
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;0;1;0.735291157;6.554328546;NA;8;5;4.988200606;0.575638959
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;1;2;0.975433602;NA;NA;13;9.8;NA;1.726916878
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;2;3;0.8698411;7.382634131;NA;15;14.2;5.647006944;2.878194796
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;3;4;1.027256404;NA;NA;22;19.5;NA;4.029472715
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;4;5;0.930788652;8.026646466;NA;29;24.3;6.159232645;5.180750633
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;5;6;1.469619562;NA;NA;35;31.7;NA;6.332028552
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;6;7;1.050020141;7.349943645;NA;38;37.2;5.621006034;7.48330647
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;7;8;0.739655633;NA;NA;44;41;NA;8.634584389
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;8;9;0.738056395;9.431278744;NA;46;44.9;7.276429806;9.785862307
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;9;10;0.677798816;NA;NA;51;48.2;NA;10.93714023
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;10;11;0.811744365;9.262297441;NA;55;52.4;7.142027774;12.08841814
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;11;12;0.806887815;NA;NA;57;56.1;NA;13.23969606
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;12;13;0.828560433;11.17908321;NA;66;60.4;8.666574557;14.39097398
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;13;14;1.297222767;NA;NA;70;67.3;NA;15.5422519
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;14;15;1.654473298;2.630064378;NA;80;76.3;1.86697318;16.69352982
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;15;16;1.542890339;NA;NA;85;84.7;NA;17.84480774
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;16;17;1.37349947;2.711293266;NA;95;92;1.931579899;18.99608566
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;17;18;1.213308232;NA;NA;100;98.3;NA;20.14736357
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;18;19;0.9340941;4.674905965;NA;106;103.3;3.493371243;21.29864149
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;19;20;1.454055071;NA;NA;113;111;NA;22.44991941
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;20;21;1.544532366;4.659277396;NA;117;NA;3.480940806;23.60119733
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;21;22;1.533573039;NA;NA;124;NA;NA;24.75247525
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;22;23;1.271383573;3.264754888;NA;129;NA;2.371784615;25.90375317
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;23;24;1.189694064;NA;NA;133;NA;NA;27.05503108
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;24;25;1.203974886;4.614595129;NA;143;NA;3.445402038;28.206309
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;25;26;1.549388915;NA;NA;148;NA;NA;29.35758692
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;26;27;1.662456117;1.24594054;NA;152;NA;0.766087741;30.50886484
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;27;28;1.775523319;NA;NA;162;NA;NA;31.66014276
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;28;29;1.322527099;1.257167219;NA;167;NA;0.775017063;32.81142068
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;29;30;1.819264352;NA;NA;171;NA;NA;33.9626986
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;30;31;1.450423357;NA;NA;181;NA;NA;35.11397651
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;31;32;2.088471211;2.443108578;NA;185;NA;1.718274839;36.26525443
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;32;33;1.719796023;NA;NA;190;NA;NA;37.41653235
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;33;34;1.155532413;3.524412524;NA;195;NA;2.578307545;38.56781027
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;34;35;1.378195561;NA;NA;204;NA;NA;39.71908819
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;35;36;1.22290366;8.428587292;NA;209;NA;6.478922828;40.87036611
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;36;37;0.915603913;NA;NA;213;NA;NA;42.02164402
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;37;38;1.145942333;5.845554302;NA;218;NA;4.424465466;43.17292194
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;38;39;1.179440755;NA;NA;222;NA;NA;44.32419986
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;39;40;1.327303419;4.623685198;NA;232;NA;3.452631972;45.47547778
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;40;41;1.161533567;NA;NA;237;NA;NA;46.6267557
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;41;42;1.003936411;6.189435932;NA;241;NA;4.697977322;47.77803362
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;42;43;1.337460453;NA;NA;246;NA;NA;48.92931154
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;43;44;1.055561313;7.702115132;NA;251;NA;5.901111362;50.08058945
AG.S;AG.S-A;Seagrass;Posidonia oceanica;13.14;44;45;1.630982149;NA;NA;255;NA;NA;51.23186737
