SiteID;CoreID;Ecosystem;Specie;Min.D;Max.D;Age;DBD;OM;OC
Santa Maria;SM05;Seagrass;Posidonia oceanica;0;1;0.2;0.760214029;9.306260575;3.9031991
Santa Maria;SM05;Seagrass;Posidonia oceanica;1;5.414225104;1.6;0.138975334;5.292116847;2.4358153
Santa Maria;SM05;Seagrass;Posidonia oceanica;5.414225104;9.899964762;4.1;0.160766815;7.105943152;2.8348305
Santa Maria;SM05;Seagrass;Posidonia oceanica;9.899964762;13.98844847;6.74;0.144620825;6.943218594;3.2378907
Santa Maria;SM05;Seagrass;Posidonia oceanica;13.98844847;17.72494992;9.32;0.188588067;13.79552523;6.0802278
Santa Maria;SM05;Seagrass;Posidonia oceanica;17.72494992;21.14958314;11.875;0.213130323;10.27133695;4.032785
Santa Maria;SM05;Seagrass;Posidonia oceanica;21.14958314;24.29789051;14.5;0.226465874;8.142717498;3.4128236
Santa Maria;SM05;Seagrass;Posidonia oceanica;24.29789051;27.2013638;17.425;0.282654243;7.169005491;2.6992569
Santa Maria;SM05;Seagrass;Posidonia oceanica;27.2013638;29.88790577;20.825;0.311816295;8.422619048;3.9116181
Santa Maria;SM05;Seagrass;Posidonia oceanica;29.88790577;32.38223923;24.2;0.358026934;5.400241352;2.7068213
Santa Maria;SM05;Seagrass;Posidonia oceanica;32.38223923;34.70626942;28.175;0.410114744;5.757693052;2.6475516
Santa Maria;SM05;Seagrass;Posidonia oceanica;34.70626942;36.87940514;32.5;0.43019613;6.359300477;2.3237749
Santa Maria;SM05;Seagrass;Posidonia oceanica;36.87940514;38.91884322;36.33333333;0.452489433;8.872598584;4.6634262
Santa Maria;SM05;Seagrass;Posidonia oceanica;38.91884322;40.83982066;40.66666667;0.470795453;5.611008819;2.7275601
Santa Maria;SM05;Seagrass;Posidonia oceanica;40.83982066;42.65583795;45.63333333;0.595279687;5.489285337;2.8838241
Santa Maria;SM05;Seagrass;Posidonia oceanica;42.65583795;44.37885698;50.25;0.603366931;6.713561601;4.3271529
Santa Maria;SM05;Seagrass;Posidonia oceanica;44.37885698;46.01947639;55.73333333;0.539471444;6.087219867;2.7389203
Santa Maria;SM05;Seagrass;Posidonia oceanica;46.01947639;47.58708694;65.06666667;0.722134096;4.718473709;2.2722762
Santa Maria;SM05;Seagrass;Posidonia oceanica;47.58708694;49.09000917;72.05;0.865899815;3.674832962;2.012599
Santa Maria;SM05;Seagrass;Posidonia oceanica;49.09000917;50.53561534;78.1;0.786149614;4.469381832;2.1474267
Santa Maria;SM05;Seagrass;Posidonia oceanica;50.53561534;51.93043755;83.55;0.833574944;;
Santa Maria;SM05;Seagrass;Posidonia oceanica;51.93043755;53.28026343;86.4;0.568460482;4.715590922;2.2095763
Santa Maria;SM05;Seagrass;Posidonia oceanica;53.28026343;54.59022103;90.56666667;0.870599436;;
Santa Maria;SM05;Seagrass;Posidonia oceanica;54.59022103;55.864854;94.75;1.26394285;2.618153817;1.2050332
Santa Maria;SM05;Seagrass;Posidonia oceanica;55.864854;57.10818814;97.5;1.206196205;;
Santa Maria;SM05;Seagrass;Posidonia oceanica;57.10818814;58.32379044;100.3;1.06678087;2.616769837;1.3717506
Santa Maria;SM05;Seagrass;Posidonia oceanica;58.32379044;59.51482141;104.5;1.101751133;;
Santa Maria;SM05;Seagrass;Posidonia oceanica;59.51482141;60.68408133;108.7;1.321510087;3.598945661;1.727689
Santa Maria;SM05;Seagrass;Posidonia oceanica;60.68408133;61.83405137;111.5;1.049080492;;
Santa Maria;SM05;Seagrass;Posidonia oceanica;61.83405137;62.96692992;114.3;1.345959462;3.011047023;1.7461939
Santa Maria;SM05;Seagrass;Posidonia oceanica;62.96692992;64.08466483;117.05;1.227699907;;
Santa Maria;SM05;Seagrass;Posidonia oceanica;64.08466483;65.18898195;119.8;1.073176135;2.367541766;1.6257191
Santa Maria;SM05;Seagrass;Posidonia oceanica;65.18898195;66.28141047;122.6;1.215498494;;
Santa Maria;SM05;Seagrass;Posidonia oceanica;66.28141047;67.36330527;125.4;1.28770232;2.968260188;1.8607938
Santa Maria;SM05;Seagrass;Posidonia oceanica;67.36330527;68.43586685;128.2;1.25647667;;
Santa Maria;SM05;Seagrass;Posidonia oceanica;68.43586685;69.50015887;132.4;1.086281394;3.68512642;2.3724104
Santa Maria;SM05;Seagrass;Posidonia oceanica;69.50015887;70.55712378;136.6;1.184134307;;
Santa Maria;SM05;Seagrass;Posidonia oceanica;70.55712378;71.60759663;139.4;1.13098395;4.794725802;2.6312748
Santa Maria;SM05;Seagrass;Posidonia oceanica;71.60759663;72.65231729;142.25;1.040731648;;
Santa Maria;SM05;Seagrass;Posidonia oceanica;72.65231729;73.69194131;145.1;1.002838156;6.135442794;3.9450159
