site;core;ecosystem;species;compresion;mind;maxd;dbd;om;oc;age
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;0;1;0.735291157;6.554328546;;8
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;1;2;0.975433602;;;13
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;2;3;0.8698411;7.382634131;;15
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;3;4;1.027256404;;;22
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;4;5;0.930788652;8.026646466;;29
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;5;6;1.469619562;;;35
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;6;7;1.050020141;7.349943645;;38
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;7;8;0.739655633;;;44
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;8;9;0.738056395;9.431278744;;46
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;9;10;0.677798816;;;51
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;10;11;0.811744365;9.262297441;;55
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;11;12;0.806887815;;;57
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;12;13;0.828560433;11.17908321;;66
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;13;14;1.297222767;;;70
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;14;15;1.654473298;2.630064378;;80
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;15;16;1.542890339;;;85
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;16;17;1.37349947;2.711293266;;95
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;17;18;1.213308232;;;100
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;18;19;0.9340941;4.674905965;;106
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;19;20;1.454055071;;;113
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;20;21;1.544532366;4.659277396;;117
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;21;22;1.533573039;;;124
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;22;23;1.271383573;3.264754888;;129
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;23;24;1.189694064;;;133
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;24;25;1.203974886;4.614595129;;143
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;25;26;1.549388915;;;148
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;26;27;1.662456117;1.24594054;;152
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;27;28;1.775523319;;;162
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;28;29;1.322527099;1.257167219;;167
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;29;30;1.819264352;;;171
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;30;31;1.450423357;;;181
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;31;32;2.088471211;2.443108578;;185
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;32;33;1.719796023;;;190
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;33;34;1.155532413;3.524412524;;195
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;34;35;1.378195561;;;204
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;35;36;1.22290366;8.428587292;;209
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;36;37;0.915603913;;;213
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;37;38;1.145942333;5.845554302;;218
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;38;39;1.179440755;;;222
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;39;40;1.327303419;4.623685198;;232
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;40;41;1.161533567;;;237
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;41;42;1.003936411;6.189435932;;241
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;42;43;1.337460453;;;246
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;43;44;1.055561313;7.702115132;;251
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;44;45;1.630982149;;;255
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;45;46;0.820853068;9.505632765;;265
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;46;47;0.876612456;;;270
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;47;48;0.979070665;8.156989734;;274
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;48;49;0.984868572;;;279
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;49;50;1.137309657;5.93704863;;284
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;50;51;1.24437303;;;289
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;51;52;1.453921356;3.682888112;;294
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;52;53;1.281230386;;;304
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;53;54;1.391914777;3.827932716;;309
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;54;55;1.39333751;;;314
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;55;56;1.352982155;;;322
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;56;57;1.216415781;;;330
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;57;58;1.026256212;7.738800209;;338
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;58;59;0.861647011;;;345
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;59;60;1.029813045;5.90313163;;353
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;60;61;1.096055733;;;361
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;61;62;1.182227387;;;377
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;62;63;1.040371226;;;385
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;63;64;0.978337904;6.328199593;;393
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;64;65;1.337519288;;;400
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;65;66;1.067472695;4.240459848;;408
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;66;67;1.572018936;;;416
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;67;68;1.53353025;2.779136024;;424
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;68;69;1.408313653;;;432
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;69;70;1.38821353;5.150378371;;440
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;70;71;1.171096904;;;448
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;71;72;1.303715995;2.082408819;;456
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;72;73;1.367097169;;;464
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;73;74;1.620177932;1.836380987;;472
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;74;75;1.551528364;;;480
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;75;76;1.60314257;2.101314167;;495
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;76;77;1.51951686;;;503
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;77;78;1.503658195;2.293287417;;511
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;78;79;1.465709719;;;519
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;79;80;1.439843782;1.794472323;;527
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;80;81;1.768516624;;;535
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;81;82;1.35991397;2.15505868;;543
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;82;83;1.172412665;;;551
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;83;84;1.462318693;1.340469149;;559
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;84;85;1.840364667;;;567
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;85;86;1.678739998;1.906643359;;575
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;86;87;1.390149732;;;583
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;87;88;1.619429125;1.520590602;;591
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;88;89;1.498159811;;;599
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;89;90;1.348066771;1.652556547;;607
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;90;91;1.606148496;;;614
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;91;92;1.381174743;1.439281447;;622
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;92;93;1.790574342;;;630
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;93;94;1.525202445;1.932306437;;637
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;94;95;1.359983502;;;645
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;95;96;1.671059376;1.625945577;;652
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;96;97;1.393968648;;;660
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;97;98;1.849082922;2.347619094;;667
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;98;99;1.468779828;;;673
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;99;100;1.807599007;1.109197515;;680
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;100;101;1.44971199;;;686
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;101;102;1.442389726;0.847461877;;693
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;102;103;1.41865254;;;699
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;103;104;1.707841852;1.24106809;;706
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;104;105;1.515574925;;;713
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;105;106;1.677429585;1.934153708;;719
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;106;107;1.752604472;;;733
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;107;108;1.40351059;1.94840598;;746
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;108;109;1.465116022;;;758
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;109;110;2.036771428;1.174263162;;771
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;110;111;1.857736993;;;784
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;111;112;1.796152955;1.428432027;;797
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;112;113;1.940228795;;;815
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;113;114;1.651798987;1.719289995;;832
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;114;115;1.478075734;;;849
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;115;116;1.939865088;0.860818529;;866
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;116;117;1.618792639;;;884
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;117;118;1.506658772;5.305780361;;901
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;118;119;1.203627225;;;919
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;119;120;1.295591437;3.930188373;;937
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;120;121;1.204675555;;;955
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;121;122;1.1598541;8.387869013;;973
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;122;123;0.987280801;;;991
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;123;124;1.014446453;10.47050983;;1008
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;124;125;1.075404702;;;1026
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;125;126;1.341177746;4.496589687;;1044
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;126;127;1.366786949;;;1062
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;127;128;1.356014824;2.915287133;;1074
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;128;129;1.5063539;;;1085
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;129;130;1.501989424;1.513304755;;1097
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;130;131;1.63664634;;;1108
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;131;132;1.509980266;1.990996118;;1120
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;132;133;1.629313379;;;1130
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;133;134;1.437950369;1.728115189;;1139
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;134;135;1.575238807;;;1149
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;135;136;1.426932207;1.63844381;;1159
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;136;137;1.234804345;;;1169
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;137;138;1.224444063;2.116583067;;1202
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;138;139;1.219769367;;;1213
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;139;140;1.29375686;1.683683044;;1223
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;140;141;1.438175011;;;1233
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;141;142;1.227086283;3.384088122;;1243
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;142;143;0.748860612;;;1253
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;143;144;0.810193264;3.767212884;;1263
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;144;145;0.821853261;;;1273
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;145;146;0.767505909;5.390401515;;1283
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;146;147;0.86848255;;;1293
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;147;148;0.919123306;2.538349234;;1303
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;148;149;1.154805001;;;1313
Sg_01;Sg_01_01;Seagrass;Posidonia oceanica;13.14;149;150;1.09078734;;;1323
Sg_01;Sg_01_02;Seagrass;Posidonia oceanica;26.07003891;0.1;3.3;1.18914;2.5;1.389420155;
Sg_01;Sg_01_02;Seagrass;Posidonia oceanica;26.07003891;3.4;6.6;1.063535;2.4;0.162115086;
Sg_01;Sg_01_02;Seagrass;Posidonia oceanica;26.07003891;8.4;11.6;1.195185;2.888315611;2.59660063;
