SiteID;CoreID;Ecosystem;Specie;Min.D;Max.D;Age;DBD;OM;OC;Centro;h;POC
Santa Maria;SM05;Seagrass;Posidonia oceanica;0;1;0.2;0.760214029;9.306260575;3.9031991;0.5;0.5;0.014836334
Santa Maria;SM05;Seagrass;Posidonia oceanica;1;5.414225104;1.6;0.138975334;5.292116847;2.4358153;3.207112552;2.707112552;0.00916407
Santa Maria;SM05;Seagrass;Posidonia oceanica;5.414225104;9.899964762;4.1;0.160766815;7.105943152;2.8348305;7.657094933;4.449982381;0.020280647
Santa Maria;SM05;Seagrass;Posidonia oceanica;9.899964762;13.98844847;6.74;0.144620825;6.943218594;3.2378907;11.94420662;4.287111683;0.020075105
Santa Maria;SM05;Seagrass;Posidonia oceanica;13.98844847;17.72494992;9.32;0.188588067;13.79552523;6.0802278;15.8566992;3.912492579;0.044862925
Santa Maria;SM05;Seagrass;Posidonia oceanica;17.72494992;21.14958314;11.875;0.213130323;10.27133695;4.032785;19.43726653;3.580567335;0.03077529
Santa Maria;SM05;Seagrass;Posidonia oceanica;21.14958314;24.29789051;14.5;0.226465874;8.142717498;3.4128236;22.72373683;3.286470295;0.025400737
Santa Maria;SM05;Seagrass;Posidonia oceanica;24.29789051;27.2013638;17.425;0.282654243;7.169005491;2.6992569;25.74962716;3.02589033;0.023086224
Santa Maria;SM05;Seagrass;Posidonia oceanica;27.2013638;29.88790577;20.825;0.311816295;8.422619048;3.9116181;28.54463479;2.79500763;0.034090883
Santa Maria;SM05;Seagrass;Posidonia oceanica;29.88790577;32.38223923;24.2;0.358026934;5.400241352;2.7068213;31.1350725;2.590437715;0.025104319
Santa Maria;SM05;Seagrass;Posidonia oceanica;32.38223923;34.70626942;28.175;0.410114744;5.757693052;2.6475516;33.54425433;2.409181825;0.026158895
Santa Maria;SM05;Seagrass;Posidonia oceanica;34.70626942;36.87940514;32.5;0.43019613;6.359300477;2.3237749;35.79283728;2.248582955;0.022478611
